,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bylevel,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_seed,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
124,153.942000071,9.97299997012,-1143.23614936,-1097.17927381,0.76818926227478479,0.82739473477940184,2,0.01,10,75,1238,3,1981,0.69430821245010454,"{'reg_alpha': 3, 'colsample_bytree': 0.82739473477940184, 'colsample_bylevel': 0.76818926227478479, 'learning_rate': 0.01, 'min_child_weight': 75, 'n_estimators': 1238, 'subsample': 0.69430821245010454, 'seed': 1981, 'max_depth': 10, 'gamma': 2}",69,-1142.96263683,-1097.10728405,-1146.22659277,-1095.65745263,-1140.5191752,-1098.77308474,0.02619162103,0.0978297935335,2.33805324975,1.27296968844
125,179.201666673,15.0589999358,-1147.60650333,-914.726549529,0.85079700868199626,0.74968977534012649,1,0.05,11,75,1249,3,1981,0.73141955935412994,"{'reg_alpha': 3, 'colsample_bytree': 0.74968977534012649, 'colsample_bylevel': 0.85079700868199626, 'learning_rate': 0.05, 'min_child_weight': 75, 'n_estimators': 1249, 'subsample': 0.73141955935412994, 'seed': 1981, 'max_depth': 11, 'gamma': 1}",124,-1147.88759641,-916.503249216,-1150.53300345,-913.049009659,-1144.39885903,-914.627389713,0.148733194884,0.0574861889604,2.51212624665,1.4119294674
126,85.0500000318,6.66899998983,-1152.24596649,-919.760033201,0.82867970020897086,0.84918675577585478,1,0.1,10,75,627,2,1981,0.92226347161473954,"{'reg_alpha': 2, 'colsample_bytree': 0.84918675577585478, 'colsample_bylevel': 0.82867970020897086, 'learning_rate': 0.1, 'min_child_weight': 75, 'n_estimators': 627, 'subsample': 0.92226347161473954, 'seed': 1981, 'max_depth': 10, 'gamma': 1}",155,-1152.6764229,-920.528642011,-1154.38074866,-918.118544997,-1149.68068705,-920.632912593,0.180146299611,0.0539628799389,1.94278164336,1.16148776156
127,86.8580000401,6.07166663806,-1152.26389851,-995.928199549,0.94009967373292047,0.82799174748044302,2.5,0.1,9,125,695,2,1981,0.64847354289345227,"{'reg_alpha': 2, 'colsample_bytree': 0.82799174748044302, 'colsample_bylevel': 0.94009967373292047, 'learning_rate': 0.1, 'min_child_weight': 125, 'n_estimators': 695, 'subsample': 0.64847354289345227, 'seed': 1981, 'max_depth': 9, 'gamma': 2.5}",156,-1152.3200726,-996.381256863,-1152.66528408,-990.912918709,-1151.80633158,-1000.49042308,0.0438254499177,0.0550292922498,0.352907943089,3.92310193365
128,194.975666602,15.1066667239,-1167.27904556,-767.453955676,0.95789528607076024,0.90147951427191697,1,0.1,11,100,1247,3,1981,0.99328638979344075,"{'reg_alpha': 3, 'colsample_bytree': 0.90147951427191697, 'colsample_bylevel': 0.95789528607076024, 'learning_rate': 0.1, 'min_child_weight': 100, 'n_estimators': 1247, 'subsample': 0.99328638979344075, 'seed': 1981, 'max_depth': 11, 'gamma': 1}",193,-1167.53746557,-768.83110768,-1169.80305145,-766.791998981,-1164.49657534,-766.738760368,0.103296732403,0.010274065109,2.17404991674,0.974036042729
129,100.207999945,7.94933342934,-1144.74621152,-960.116170306,0.98448975222179946,0.89352569207813304,1,0.05,11,50,615,1.5,1981,0.8254502959522223,"{'reg_alpha': 1.5, 'colsample_bytree': 0.89352569207813304, 'colsample_bylevel': 0.98448975222179946, 'learning_rate': 0.05, 'min_child_weight': 50, 'n_estimators': 615, 'subsample': 0.8254502959522223, 'seed': 1981, 'max_depth': 11, 'gamma': 1}",94,-1143.81310773,-961.402138097,-1148.62587519,-959.44981844,-1141.79960469,-959.496554382,0.0414084382101,0.066514790177,2.86385271188,0.909516696255
130,113.363999923,6.35533348719,-1142.22770189,-1094.32463559,0.71906078722321209,0.79150785375637045,2.5,0.03,7,125,1100,1.5,1981,0.53135778774691578,"{'reg_alpha': 1.5, 'colsample_bytree': 0.79150785375637045, 'colsample_bylevel': 0.71906078722321209, 'learning_rate': 0.03, 'min_child_weight': 125, 'n_estimators': 1100, 'subsample': 0.53135778774691578, 'seed': 1981, 'max_depth': 7, 'gamma': 2.5}",60,-1142.39740615,-1094.56094236,-1144.91695106,-1093.11470578,-1139.36870293,-1095.29825864,2.57387336381,0.0498419608917,2.26823628027,0.906956979984
131,114.735333363,8.3470000426,-1158.35589281,-926.295479108,0.73398898437506443,0.98465106432755134,1,0.1,8,50,999,3,1981,0.64231194050347107,"{'reg_alpha': 3, 'colsample_bytree': 0.98465106432755134, 'colsample_bylevel': 0.73398898437506443, 'learning_rate': 0.1, 'min_child_weight': 50, 'n_estimators': 999, 'subsample': 0.64231194050347107, 'seed': 1981, 'max_depth': 8, 'gamma': 1}",173,-1160.34335775,-927.551374158,-1159.87942914,-923.755399865,-1154.84483561,-927.579663302,2.14375698415,0.0283314004426,2.48988653401,1.79614438724
132,84.7170000871,5.44833334287,-1157.64253717,-1131.49333719,0.71831100433590134,0.91105579933152425,2,0.01,8,100,739,2.5,1981,0.97871384151421226,"{'reg_alpha': 2.5, 'colsample_bytree': 0.91105579933152425, 'colsample_bylevel': 0.71831100433590134, 'learning_rate': 0.01, 'min_child_weight': 100, 'n_estimators': 739, 'subsample': 0.97871384151421226, 'seed': 1981, 'max_depth': 8, 'gamma': 2}",171,-1156.57032183,-1130.53703305,-1161.51417034,-1129.32920336,-1154.84307476,-1134.61377517,1.60792186427,0.0466572225279,2.82702325479,2.26090881832
133,126.594333331,7.18666672707,-1149.5749054,-992.849446925,0.71943772240422921,0.92947991375901007,2,0.1,7,125,1201,2,1981,0.71694168810585035,"{'reg_alpha': 2, 'colsample_bytree': 0.92947991375901007, 'colsample_bylevel': 0.71943772240422921, 'learning_rate': 0.1, 'min_child_weight': 125, 'n_estimators': 1201, 'subsample': 0.71694168810585035, 'seed': 1981, 'max_depth': 7, 'gamma': 2}",136,-1149.41589588,-992.69289446,-1153.55957691,-992.075573664,-1145.74918246,-993.779872652,2.35643100339,0.0236971428624,3.19055773752,0.704528336504
